"Plant","Family","Country","References"
"Cryptolepis sanguinolenta","Apocynaceae","Guinea-Bissau","Silva et al, 2011"
"Cucumis meohuliferus","Curcurbitaceae","Burkina Faso","Lawal et al, 2015"
"Cucurbita maxima","Cucurbitaceae","Brazil","Silva et al, 2011"
"Curcuma aromatica","Zingebracea","Egypt","Lawal et al, 2015"
"Cussonia spicata","Araliaceae","South Africa","Lawal et al, 2015"
"Cymbopogon citratus","Poaceae","Cameroon/Nigeria","Lawal et al, 2015"
"Cymbopogon giganteus","Poaceae","Benin","Lawal et al, 2015"
"Cymbopogon nardus","Poaceae","Benin","Lawal et al, 2015"
"Cymbopogon proximus","Poaceae","Egypt","Lawal et al, 2015"
"Cymbopogon schoenanthus","Poaceae","Benin/Sudan","Lawal et al, 2015"
"Cymbopogon validu","Poaceae","South Africa","Lawal et al, 2015"
"Cyperus alopecuroides","Cyperaceae","Egypt","Lawal et al, 2015"
"Cyperus rotundus","Cyperacea","Egypt","Lawal et al, 2015"
"Dalhousiea africana","Leguminosae","Congo","Lawal et al, 2015"
"Daniellia oliveri","Fabaceae","Nigeria","Lawal et al, 2015"
"Daucus carota","Apiaceae","Egypt","Lawal et al, 2015"
"Desmodium velutinum","Fabaceae","Burkina Faso","Lawal et al, 2015"
"Desmostachya bipinnata","Poaceae","Egypt","Lawal et al, 2015"
"Dialium guineense","Leguminosae","Benin","Lawal et al, 2015"
"Dicerocaryum eriocarpum","Pedaliaceae","Namibia","Lawal et al, 2015"
"Dichrostachys cinerea","Fabaceae","South Africa","Lawal et al, 2015"
"Diosma","Rutaceae","South Africa","Lawal et al, 2015"
"Diospyros abyssinica","Ebenaceae","Uganda","Krief et al, 2006"
"Diospyros mespiliformis","Ebenaceae","South Africa","Lawal et al, 2015"
"Diplorhynchus condylocarpon","Apocynaceae","South Africa","Lawal et al, 2015"
"Dodonaea viscosa","Sapindaceae","South Africa","Lawal et al, 2015"
"Drypetes gerrardii","Meliaceae","South Africa","Lawal et al, 2015"
"Drypetes gossweileri","Euphorbiaceae","Congo","Lawal et al, 2015"
"Ekebergia capensis","Meliaceae","South Africa","Lawal et al, 2015"
"Elaeis guineensis","Palmaceae","Ghana","Lawal et al, 2015"
"Elephantorrhiza elephantina","Fabaceae","South Africa","Lawal et al, 2015"
"Emblica officinalis","Phyllanthaceae","Egypt","Lawal et al, 2015"
"Enantia chlorantha","Annonaceae","Congo","Lawal et al, 2015"
"Entada africana","Fabaceae","Togo","Lawal et al, 2015"
"Entandrophragma angolense","Meliaceae","Cameroon","Lawal et al, 2015"
"Entandrophragma palustre","Meliaceae","Congo","Lawal et al, 2015"
"Erigeron floribundus","Asteracea","Ivory Coast","Lawal et al, 2015"
"Eruca sativa","Brassicaceae","Egypt","Lawal et al, 2015"
"Erythrina senegalensis","Fabaceae","Nigeria/Ivory Coast","Lawal et al, 2015"
"Esenbeckia febrifuga","Rutaceae","Brazil","Silva et al, 2011"
"Euclea natalensis","Ebenaceae","South Africa","Lawal et al, 2015"
"Eucomis autumnalis","Asparagaceae","South Africa","Lawal et al, 2015"
"Euphorbia heterophylla","Euphorbiaceae","South Africa","Lawal et al, 2015"
"Euphorbia hirta","Euphorbiaceae","Congo/Nigeria/Ivory Coast/Angola","Lawal et al, 2015"
"Euphorbia tirucalli","Euphorbiaceae","South Africa","Lawal et al, 2015"
"Zanthoxylum gilletii","Rutaceae","Ivory Coast","Lawal et al, 2015"
"Zanthoxylum zanthoxyloides","Rutaceae","Nigeria","Lawal et al, 2015"
"Ficus capensis","Moraceae","Ivory Coast","Lawal et al, 2015"
"Ficus capreifolia","Moraceae","Burkina Faso","Lawal et al, 2015"
"Ficus carica","Moraceae","Egypt","Lawal et al, 2015"
"Ficus platyphylla","Moraceae","Nigeria","Lawal et al, 2015"
"Ficus thonningii","Moraceae","Nigeria","Lawal et al, 2015"
"Flacourtia indica","Flacourtiaceae","South Africa","Lawal et al, 2015"
"Flueggea virosa","Euphorbiaceae","South Africa","Lawal et al, 2015"
"Afrostyrax lepidophyllus","Huaceae","Congo","Lawal et al, 2015"
"Fuerstia africana","Lamiaceae","Rwanda","Lawal et al, 2015"
"Funtumia elastica","Apocynaceae","Ivory Coast","Lawal et al, 2015"
"Garcinia kola","Clusiaceae","Congo","Lawal et al, 2015"
"Garcinia punctata","Clusiaceae","Congo","Lawal et al, 2015"
"Gardenia jovis","Rubiaceae","Sudan","Lawal et al, 2015"
"Gardenia lutea","Rubiacene","Sudan","Lawal et al, 2015"
"Geissospermum sericeum","Apocynaceae","Brazil","Silva et al, 2011"
"Gloriosa superba","Colchicaceae","South Africa","Lawal et al, 2015"
"Glycyrrhiza glabra","Fabaceae","Egypt","Lawal et al, 2015"
"Gnidia cuneata","Thymelaeaceae","South Africa","Lawal et al, 2015"
"Gnidia kraussiana","Thymelaeaceae","South Africa","Lawal et al, 2015"
"Gomphocarpus fruticosus","Apocynaceae","South Africa","Lawal et al, 2015"
"Guiera senegalensis","Combretaceae","Nigeria/Guinea-Bissau","Silva et al, 2011"
"Harungana madagascariensis","Hypencaceae","Congo/Guinea-Bissau/Nigeria","Lawal et al, 2015; Silva et al, 2011"
"Helianthus annus","Poaceae","Sudan","Lawal et al, 2015"
"Helichrysum nudifolium","Asteraceae","South Africa","Lawal et al, 2015"
"Helichrysum pedunculatum","Asteraceae","South Africa","Lawal et al, 2015"
"Heliotropium indicum","Boraginaceae","Benin","Lawal et al, 2015"
"Hermannia depressa","Sterculiaceae","South Africa","Lawal et al, 2015"
"Hexalobus crispiflorus","Annonaceae","Angola","Silva et al, 2011"
"Hibiscus sabdariffa","Malvaceae","Egypt","Lawal et al, 2015"
"Hippobromus pauciflorus","Sapindaceae","South Africa","Lawal et al, 2015"
"Hypericum aethiopicum","Hypericaceae","South Africa","Lawal et al, 2015"
"Hyphaene thebaica","Arecaceae","Egypt","Lawal et al, 2015"
"Hypoxis colchicifolia","Hypoxidaceae","South Africa","Lawal et al, 2015"
"Hyptis pectinata","Lamiaceae","South Africa","Lawal et al, 2015"
"Hyptis spicigera","Lamiaceae","Burkina Faso","Lawal et al, 2015"
"Irvingia gabonensis","Simaroubaceae","Ivory Coast","Lawal et al, 2015"
"Isolona hexaloba","Annonaceae","Congo","Lawal et al, 2015"
"Jatropha curcas","Euphorbiaceae","Congo/Nigeria","Lawal et al, 2015"
"Jatropha tanjorensis","Euphorbiaceae","Nigeria","Lawal et al, 2015"
"Justicia flava","Acanthaceae","South Africa","Lawal et al, 2015"
"Keetia leucantha","Rubiaceae","Benin","Lawal et al, 2015"
"Khaya grandifoliola","Maliaceae","Nigeria","Lawal et al, 2015"
"Khaya senegalensis","Maliaceae","Benin","Lawal et al, 2015"
"Kigelia africana","Bignoniaceae","Kenya/South Africa","Lawal et al, 2015"
"Kirkia wilmsii","Kirkiaceae","South Africa","Lawal et al, 2015"
"Lannea discolor","Anacardiaceae","South Africa","Lawal et al, 2015"
