"Plant","Family","Country","References"
"Plumbago auriculata","Plumbaginaceae","Mozambique","Lawal et al, 2015"
"Plumbago zeylanica","Plumbaginaceae","South Africa","Lawal et al, 2015"
"Polygonum glabrum","Polgonaceae","Sudan","Lawal et al, 2015"
"Pollichia campestris","Illecebraceae","South Africa","Lawal et al, 2015"
"Polyalthia oliveri","Annonaceae","Congo","Lawal et al, 2015"
"Polyalthia suaveolens","Annonaceae","Congo","Lawal et al, 2015"
"Piper peltatum","Piperaceae","Brazil","Silva et al, 2011"
"Prosopis africana","Leguminaceae","Nigeria","Lawal et al, 2015"
"Pseudarthria hookeri","Fabaceae","South Africa","Lawal et al, 2015"
"Psiadia punctulata","Asteraceae","South Africa","Lawal et al, 2015"
"Psidium guajava","Myrtaceae","Nigeria/Egypt","Lawal et al, 2015"
"Psoralea pinnata","Fabaceae","South Africa","Lawal et al, 2015"
"Ptaeroxylon obliquum","Rutaceae","South Africa","Lawal et al, 2015"
"Pterocarpus angolensis","Fabaceae","South Africa","Lawal et al, 2015"
"Pulicaria crispa","Asteraceae","Sudan","Lawal et al, 2015"
"Punica granatum","Lythraceae","Egypt","Lawal et al, 2015"
"Pupalia lappacea","Amaranthaceae","Benin","Lawal et al, 2015"
"Pycnanthus angolensis","Myristicaceae","Ivory Coast/São Tomé","Lawal et al, 2015, Silva et al, 2011"
"Pyrenacantha grandifolia","Icacinaceae","South Africa","Lawal et al, 2015"
"Pyrenacantha klaineana","Cacinaceae","Congo","Lawal et al, 2015"
"Quassia africana","Simaroubaceae","Congo","Lawal et al, 2015"
"Quassia amara","Simaroubaceae","Nigeria","Lawal et al, 2015"
"Quercus infectoria","Fagaceae","Egypt","Lawal et al, 2015"
"Ranunculus multifidus","Ranunculaceae","South Africa","Lawal et al, 2015"
"Rapanea melanophloeos","Myrtaceae","South Africa","Lawal et al, 2015"
"Rauvolfia caffra","Apocynaceae","South Africa","Lawal et al, 2015"
"Rauvolfia vomitoria","Apocynaceae","Ivory Coast","Lawal et al, 2015"
"Remijia ferruginea","Rubiaceae","Brazil","Silva et al, 2011"
"Rhigiocarya racemifera","Menispermaceae","Ivory Coast","Lawal et al, 2015"
"Rhizophora mucronata","Rhizophoraceae","South Africa","Lawal et al, 2015"
"Ricinus communis","Euphorbiaceae","Egypt/South Africa","Lawal et al, 2015"
"Rothmannia longiflora","Rubiaceae","Ghana","Lawal et al, 2015"
"Rourea coccinea","Connaraceae","Benin","Lawal et al, 2015"
"Rumex abyssinicus","Polygonaceae","Rwanda","Lawal et al, 2015"
"Rumex bequaertii","Polygonaceae","Rwanda","Lawal et al, 2015"
"Rumex crispus","Polygonaceae","South Africa","Lawal et al, 2015"
"Rumex sagittatus","Poaceae","South Africa","Lawal et al, 2015"
"Agathosma","Rutaceae","South Africa","Lawal et al, 2015"
"Salix subserrata","Salicaceae","Egypt","Lawal et al, 2015"
